learning_objective_code	prerequisite_lo_code	rationale	source_layer
ULO-CSS_SELECTORS-04	ULO-CSS_SELECTORS-03	Bloom progression within concept CSS_SELECTORS	L3-LLM
ULO-CYBERBULLYING-02	ULO-CYBERBULLYING-01	Bloom progression within concept CYBERBULLYING	L3-LLM
ULO-CYBERBULLYING-03	ULO-CYBERBULLYING-02	Bloom progression within concept CYBERBULLYING	L3-LLM
ULO-CYBERBULLYING-04	ULO-CYBERBULLYING-03	Bloom progression within concept CYBERBULLYING	L3-LLM
ULO-DATABASE_NORMALIZATION-02	ULO-DATABASE_NORMALIZATION-01	Bloom progression within concept DATABASE_NORMALIZATION	L3-LLM
ULO-DATABASE_NORMALIZATION-03	ULO-DATABASE_NORMALIZATION-02	Bloom progression within concept DATABASE_NORMALIZATION	L3-LLM
ULO-DATABASE_NORMALIZATION-04	ULO-DATABASE_NORMALIZATION-03	Bloom progression within concept DATABASE_NORMALIZATION	L3-LLM
ULO-DATA_CLEANING_TECHNIQUES-02	ULO-DATA_CLEANING_TECHNIQUES-01	Bloom progression within concept DATA_CLEANING_TECHNIQUES	L3-LLM
ULO-DATA_CLEANING_TECHNIQUES-03	ULO-DATA_CLEANING_TECHNIQUES-02	Bloom progression within concept DATA_CLEANING_TECHNIQUES	L3-LLM
ULO-DATA_CLEANING_TECHNIQUES-04	ULO-DATA_CLEANING_TECHNIQUES-03	Bloom progression within concept DATA_CLEANING_TECHNIQUES	L3-LLM
ULO-DATA_DISTRIBUTIONS-02	ULO-DATA_DISTRIBUTIONS-01	Bloom progression within concept DATA_DISTRIBUTIONS	L3-LLM
ULO-DATA_DISTRIBUTIONS-03	ULO-DATA_DISTRIBUTIONS-02	Bloom progression within concept DATA_DISTRIBUTIONS	L3-LLM
ULO-DATA_DISTRIBUTIONS-04	ULO-DATA_DISTRIBUTIONS-03	Bloom progression within concept DATA_DISTRIBUTIONS	L3-LLM
ULO-DATA_EXPLORATION_EDA-02	ULO-DATA_EXPLORATION_EDA-01	Bloom progression within concept DATA_EXPLORATION_EDA	L3-LLM
ULO-DATA_EXPLORATION_EDA-03	ULO-DATA_EXPLORATION_EDA-02	Bloom progression within concept DATA_EXPLORATION_EDA	L3-LLM
ULO-DATA_EXPLORATION_EDA-04	ULO-DATA_EXPLORATION_EDA-03	Bloom progression within concept DATA_EXPLORATION_EDA	L3-LLM
ULO-DATA_LITERACY_DIKW_MODEL-02	ULO-DATA_LITERACY_DIKW_MODEL-01	Bloom progression within concept DATA_LITERACY_DIKW_MODEL	L3-LLM
ULO-DATA_LITERACY_DIKW_MODEL-03	ULO-DATA_LITERACY_DIKW_MODEL-02	Bloom progression within concept DATA_LITERACY_DIKW_MODEL	L3-LLM
ULO-DATA_LITERACY_DIKW_MODEL-04	ULO-DATA_LITERACY_DIKW_MODEL-03	Bloom progression within concept DATA_LITERACY_DIKW_MODEL	L3-LLM
ULO-DECENTRALIZED_LEDGER_CONSENSUS-02	ULO-DECENTRALIZED_LEDGER_CONSENSUS-01	Bloom progression within concept DECENTRALIZED_LEDGER_CONSENSUS	L3-LLM
ULO-DECENTRALIZED_LEDGER_CONSENSUS-03	ULO-DECENTRALIZED_LEDGER_CONSENSUS-02	Bloom progression within concept DECENTRALIZED_LEDGER_CONSENSUS	L3-LLM
ULO-DECENTRALIZED_LEDGER_CONSENSUS-04	ULO-DECENTRALIZED_LEDGER_CONSENSUS-03	Bloom progression within concept DECENTRALIZED_LEDGER_CONSENSUS	L3-LLM
ULO-DESIGN_THINKING_PROCESS-02	ULO-DESIGN_THINKING_PROCESS-01	Bloom progression within concept DESIGN_THINKING_PROCESS	L3-LLM
ULO-DESIGN_THINKING_PROCESS-03	ULO-DESIGN_THINKING_PROCESS-02	Bloom progression within concept DESIGN_THINKING_PROCESS	L3-LLM
ULO-DESIGN_THINKING_PROCESS-04	ULO-DESIGN_THINKING_PROCESS-03	Bloom progression within concept DESIGN_THINKING_PROCESS	L3-LLM
ULO-DIGITAL_ANALOG_IO-02	ULO-DIGITAL_ANALOG_IO-01	Bloom progression within concept DIGITAL_ANALOG_IO	L3-LLM
ULO-DIGITAL_ANALOG_IO-03	ULO-DIGITAL_ANALOG_IO-02	Bloom progression within concept DIGITAL_ANALOG_IO	L3-LLM
ULO-DIGITAL_ANALOG_IO-04	ULO-DIGITAL_ANALOG_IO-03	Bloom progression within concept DIGITAL_ANALOG_IO	L3-LLM
ULO-DIGITAL_DIVIDE-02	ULO-DIGITAL_DIVIDE-01	Bloom progression within concept DIGITAL_DIVIDE	L3-LLM
ULO-DIGITAL_DIVIDE-03	ULO-DIGITAL_DIVIDE-02	Bloom progression within concept DIGITAL_DIVIDE	L3-LLM
ULO-DIGITAL_DIVIDE-04	ULO-DIGITAL_DIVIDE-03	Bloom progression within concept DIGITAL_DIVIDE	L3-LLM
ULO-DIGITAL_FILTERING_AND_SAMPLING-02	ULO-DIGITAL_FILTERING_AND_SAMPLING-01	Bloom progression within concept DIGITAL_FILTERING_AND_SAMPLING	L3-LLM
ULO-DIGITAL_FILTERING_AND_SAMPLING-03	ULO-DIGITAL_FILTERING_AND_SAMPLING-02	Bloom progression within concept DIGITAL_FILTERING_AND_SAMPLING	L3-LLM
ULO-DIGITAL_FILTERING_AND_SAMPLING-04	ULO-DIGITAL_FILTERING_AND_SAMPLING-03	Bloom progression within concept DIGITAL_FILTERING_AND_SAMPLING	L3-LLM
ULO-DIGITAL_FOOTPRINT-02	ULO-DIGITAL_FOOTPRINT-01	Bloom progression within concept DIGITAL_FOOTPRINT	L3-LLM
ULO-DIGITAL_FOOTPRINT-03	ULO-DIGITAL_FOOTPRINT-02	Bloom progression within concept DIGITAL_FOOTPRINT	L3-LLM
ULO-DIGITAL_FOOTPRINT-04	ULO-DIGITAL_FOOTPRINT-03	Bloom progression within concept DIGITAL_FOOTPRINT	L3-LLM
ULO-DIGITAL_IDENTITY-02	ULO-DIGITAL_IDENTITY-01	Bloom progression within concept DIGITAL_IDENTITY	L3-LLM
ULO-DIGITAL_IDENTITY-03	ULO-DIGITAL_IDENTITY-02	Bloom progression within concept DIGITAL_IDENTITY	L3-LLM
ULO-DIGITAL_IDENTITY-04	ULO-DIGITAL_IDENTITY-03	Bloom progression within concept DIGITAL_IDENTITY	L3-LLM
ULO-DIGITAL_TWIN_SIMULATION-02	ULO-DIGITAL_TWIN_SIMULATION-01	Bloom progression within concept DIGITAL_TWIN_SIMULATION	L3-LLM
ULO-DIGITAL_TWIN_SIMULATION-03	ULO-DIGITAL_TWIN_SIMULATION-02	Bloom progression within concept DIGITAL_TWIN_SIMULATION	L3-LLM
ULO-DIGITAL_TWIN_SIMULATION-04	ULO-DIGITAL_TWIN_SIMULATION-03	Bloom progression within concept DIGITAL_TWIN_SIMULATION	L3-LLM
ULO-DIVIDE_CONQUER-02	ULO-DIVIDE_CONQUER-01	Bloom progression within concept DIVIDE_CONQUER	L3-LLM
ULO-DIVIDE_CONQUER-03	ULO-DIVIDE_CONQUER-02	Bloom progression within concept DIVIDE_CONQUER	L3-LLM
ULO-DIVIDE_CONQUER-04	ULO-DIVIDE_CONQUER-03	Bloom progression within concept DIVIDE_CONQUER	L3-LLM
ULO-DMA_CONCEPT-02	ULO-DMA_CONCEPT-01	Bloom progression within concept DMA_CONCEPT	L3-LLM
ULO-DMA_CONCEPT-03	ULO-DMA_CONCEPT-02	Bloom progression within concept DMA_CONCEPT	L3-LLM
ULO-DMA_CONCEPT-04	ULO-DMA_CONCEPT-03	Bloom progression within concept DMA_CONCEPT	L3-LLM
ULO-DNS_LOOKUP-02	ULO-DNS_LOOKUP-01	Bloom progression within concept DNS_LOOKUP	L3-LLM
ULO-DNS_LOOKUP-03	ULO-DNS_LOOKUP-02	Bloom progression within concept DNS_LOOKUP	L3-LLM
ULO-DNS_LOOKUP-04	ULO-DNS_LOOKUP-03	Bloom progression within concept DNS_LOOKUP	L3-LLM
ULO-DOM_MANIPULATION-02	ULO-DOM_MANIPULATION-01	Bloom progression within concept DOM_MANIPULATION	L3-LLM
ULO-DOM_MANIPULATION-03	ULO-DOM_MANIPULATION-02	Bloom progression within concept DOM_MANIPULATION	L3-LLM
ULO-DOM_MANIPULATION-04	ULO-DOM_MANIPULATION-03	Bloom progression within concept DOM_MANIPULATION	L3-LLM
ULO-DRAG_GESTURE-02	ULO-DRAG_GESTURE-01	Bloom progression within concept DRAG_GESTURE	L3-LLM
ULO-DRAG_GESTURE-03	ULO-DRAG_GESTURE-02	Bloom progression within concept DRAG_GESTURE	L3-LLM
ULO-DRAG_GESTURE-04	ULO-DRAG_GESTURE-03	Bloom progression within concept DRAG_GESTURE	L3-LLM
ULO-DURABLE_AGENT_STATE_MANAGEMENT-02	ULO-DURABLE_AGENT_STATE_MANAGEMENT-01	Bloom progression within concept DURABLE_AGENT_STATE_MANAGEMENT	L3-LLM
ULO-DURABLE_AGENT_STATE_MANAGEMENT-03	ULO-DURABLE_AGENT_STATE_MANAGEMENT-02	Bloom progression within concept DURABLE_AGENT_STATE_MANAGEMENT	L3-LLM
ULO-DURABLE_AGENT_STATE_MANAGEMENT-04	ULO-DURABLE_AGENT_STATE_MANAGEMENT-03	Bloom progression within concept DURABLE_AGENT_STATE_MANAGEMENT	L3-LLM
ULO-DYNAMIC_PROGRAMMING-02	ULO-DYNAMIC_PROGRAMMING-01	Bloom progression within concept DYNAMIC_PROGRAMMING	L3-LLM
ULO-DYNAMIC_PROGRAMMING-03	ULO-DYNAMIC_PROGRAMMING-02	Bloom progression within concept DYNAMIC_PROGRAMMING	L3-LLM
ULO-DYNAMIC_PROGRAMMING-04	ULO-DYNAMIC_PROGRAMMING-03	Bloom progression within concept DYNAMIC_PROGRAMMING	L3-LLM
ULO-EDGE_MODEL_QUANTIZATION-02	ULO-EDGE_MODEL_QUANTIZATION-01	Bloom progression within concept EDGE_MODEL_QUANTIZATION	L3-LLM
ULO-EDGE_MODEL_QUANTIZATION-03	ULO-EDGE_MODEL_QUANTIZATION-02	Bloom progression within concept EDGE_MODEL_QUANTIZATION	L3-LLM
ULO-EDGE_MODEL_QUANTIZATION-04	ULO-EDGE_MODEL_QUANTIZATION-03	Bloom progression within concept EDGE_MODEL_QUANTIZATION	L3-LLM
ULO-ENGINEERING_DESIGN_CYCLE-02	ULO-ENGINEERING_DESIGN_CYCLE-01	Bloom progression within concept ENGINEERING_DESIGN_CYCLE	L3-LLM
ULO-ENGINEERING_DESIGN_CYCLE-03	ULO-ENGINEERING_DESIGN_CYCLE-02	Bloom progression within concept ENGINEERING_DESIGN_CYCLE	L3-LLM
ULO-ENGINEERING_DESIGN_CYCLE-04	ULO-ENGINEERING_DESIGN_CYCLE-03	Bloom progression within concept ENGINEERING_DESIGN_CYCLE	L3-LLM
ULO-ERROR_MESSAGES_CONCEPT-02	ULO-ERROR_MESSAGES_CONCEPT-01	Bloom progression within concept ERROR_MESSAGES_CONCEPT	L3-LLM
ULO-ERROR_MESSAGES_CONCEPT-03	ULO-ERROR_MESSAGES_CONCEPT-02	Bloom progression within concept ERROR_MESSAGES_CONCEPT	L3-LLM
ULO-ERROR_MESSAGES_CONCEPT-04	ULO-ERROR_MESSAGES_CONCEPT-03	Bloom progression within concept ERROR_MESSAGES_CONCEPT	L3-LLM
ULO-ETHICAL_AI_AND_BIAS_AWARENESS-02	ULO-ETHICAL_AI_AND_BIAS_AWARENESS-01	Bloom progression within concept ETHICAL_AI_AND_BIAS_AWARENESS	L3-LLM
ULO-ETHICAL_AI_AND_BIAS_AWARENESS-03	ULO-ETHICAL_AI_AND_BIAS_AWARENESS-02	Bloom progression within concept ETHICAL_AI_AND_BIAS_AWARENESS	L3-LLM
ULO-ETHICAL_AI_AND_BIAS_AWARENESS-04	ULO-ETHICAL_AI_AND_BIAS_AWARENESS-03	Bloom progression within concept ETHICAL_AI_AND_BIAS_AWARENESS	L3-LLM
ULO-EVENT_BASED_PROGRAMMING-02	ULO-EVENT_BASED_PROGRAMMING-01	Bloom progression within concept EVENT_BASED_PROGRAMMING	L3-LLM
ULO-EVENT_BASED_PROGRAMMING-03	ULO-EVENT_BASED_PROGRAMMING-02	Bloom progression within concept EVENT_BASED_PROGRAMMING	L3-LLM
ULO-EVENT_BASED_PROGRAMMING-04	ULO-EVENT_BASED_PROGRAMMING-03	Bloom progression within concept EVENT_BASED_PROGRAMMING	L3-LLM
ULO-EVENT_HANDLERS_CONCEPT-02	ULO-EVENT_HANDLERS_CONCEPT-01	Bloom progression within concept EVENT_HANDLERS_CONCEPT	L3-LLM
ULO-EVENT_HANDLERS_CONCEPT-03	ULO-EVENT_HANDLERS_CONCEPT-02	Bloom progression within concept EVENT_HANDLERS_CONCEPT	L3-LLM
ULO-EVENT_HANDLERS_CONCEPT-04	ULO-EVENT_HANDLERS_CONCEPT-03	Bloom progression within concept EVENT_HANDLERS_CONCEPT	L3-LLM
ULO-FEEDBACK_AND_RESPONSE-02	ULO-FEEDBACK_AND_RESPONSE-01	Bloom progression within concept FEEDBACK_AND_RESPONSE	L3-LLM
ULO-FEEDBACK_AND_RESPONSE-03	ULO-FEEDBACK_AND_RESPONSE-02	Bloom progression within concept FEEDBACK_AND_RESPONSE	L3-LLM
ULO-FEEDBACK_AND_RESPONSE-04	ULO-FEEDBACK_AND_RESPONSE-03	Bloom progression within concept FEEDBACK_AND_RESPONSE	L3-LLM
ULO-FETCH_DECODE_EXECUTE-02	ULO-FETCH_DECODE_EXECUTE-01	Bloom progression within concept FETCH_DECODE_EXECUTE	L3-LLM
ULO-FETCH_DECODE_EXECUTE-03	ULO-FETCH_DECODE_EXECUTE-02	Bloom progression within concept FETCH_DECODE_EXECUTE	L3-LLM
ULO-FETCH_DECODE_EXECUTE-04	ULO-FETCH_DECODE_EXECUTE-03	Bloom progression within concept FETCH_DECODE_EXECUTE	L3-LLM
ULO-FILE_ALLOCATION-02	ULO-FILE_ALLOCATION-01	Bloom progression within concept FILE_ALLOCATION	L3-LLM
ULO-FILE_ALLOCATION-03	ULO-FILE_ALLOCATION-02	Bloom progression within concept FILE_ALLOCATION	L3-LLM
ULO-FILE_ALLOCATION-04	ULO-FILE_ALLOCATION-03	Bloom progression within concept FILE_ALLOCATION	L3-LLM
ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-02	ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-01	Bloom progression within concept FIRST_CLASS_FUNCTIONS_CONCEPT	L3-LLM
ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-03	ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-02	Bloom progression within concept FIRST_CLASS_FUNCTIONS_CONCEPT	L3-LLM
ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-04	ULO-FIRST_CLASS_FUNCTIONS_CONCEPT-03	Bloom progression within concept FIRST_CLASS_FUNCTIONS_CONCEPT	L3-LLM
ULO-FORMAL_PROGRAM_VERIFICATION-02	ULO-FORMAL_PROGRAM_VERIFICATION-01	Bloom progression within concept FORMAL_PROGRAM_VERIFICATION	L3-LLM
ULO-FORMAL_PROGRAM_VERIFICATION-03	ULO-FORMAL_PROGRAM_VERIFICATION-02	Bloom progression within concept FORMAL_PROGRAM_VERIFICATION	L3-LLM
ULO-FORMAL_PROGRAM_VERIFICATION-04	ULO-FORMAL_PROGRAM_VERIFICATION-03	Bloom progression within concept FORMAL_PROGRAM_VERIFICATION	L3-LLM
ULO-FOR_LOOP-02	ULO-FOR_LOOP-01	Bloom progression within concept FOR_LOOP	L3-LLM
ULO-FOR_LOOP-03	ULO-FOR_LOOP-02	Bloom progression within concept FOR_LOOP	L3-LLM
ULO-FOR_LOOP-04	ULO-FOR_LOOP-03	Bloom progression within concept FOR_LOOP	L3-LLM
ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-02	ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-01	Bloom progression within concept FOURIER_TRANSFORM_SIGNAL_ANALYSIS	L3-LLM
ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-03	ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-02	Bloom progression within concept FOURIER_TRANSFORM_SIGNAL_ANALYSIS	L3-LLM
ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-04	ULO-FOURIER_TRANSFORM_SIGNAL_ANALYSIS-03	Bloom progression within concept FOURIER_TRANSFORM_SIGNAL_ANALYSIS	L3-LLM
ULO-FRONTEND_FRAMEWORKS-02	ULO-FRONTEND_FRAMEWORKS-01	Bloom progression within concept FRONTEND_FRAMEWORKS	L3-LLM
ULO-FRONTEND_FRAMEWORKS-03	ULO-FRONTEND_FRAMEWORKS-02	Bloom progression within concept FRONTEND_FRAMEWORKS	L3-LLM
ULO-FRONTEND_FRAMEWORKS-04	ULO-FRONTEND_FRAMEWORKS-03	Bloom progression within concept FRONTEND_FRAMEWORKS	L3-LLM
ULO-GAME_LOOP-02	ULO-GAME_LOOP-01	Bloom progression within concept GAME_LOOP	L3-LLM
ULO-GAME_LOOP-03	ULO-GAME_LOOP-02	Bloom progression within concept GAME_LOOP	L3-LLM
ULO-GAME_LOOP-04	ULO-GAME_LOOP-03	Bloom progression within concept GAME_LOOP	L3-LLM
ULO-GRADIENT_DESCENT_OPTIMIZATION-02	ULO-GRADIENT_DESCENT_OPTIMIZATION-01	Bloom progression within concept GRADIENT_DESCENT_OPTIMIZATION	L3-LLM
ULO-GRADIENT_DESCENT_OPTIMIZATION-03	ULO-GRADIENT_DESCENT_OPTIMIZATION-02	Bloom progression within concept GRADIENT_DESCENT_OPTIMIZATION	L3-LLM
ULO-GRADIENT_DESCENT_OPTIMIZATION-04	ULO-GRADIENT_DESCENT_OPTIMIZATION-03	Bloom progression within concept GRADIENT_DESCENT_OPTIMIZATION	L3-LLM
ULO-GRAPH_BASED_AGENTIC_WORKFLOW-02	ULO-GRAPH_BASED_AGENTIC_WORKFLOW-01	Bloom progression within concept GRAPH_BASED_AGENTIC_WORKFLOW	L3-LLM
ULO-GRAPH_BASED_AGENTIC_WORKFLOW-03	ULO-GRAPH_BASED_AGENTIC_WORKFLOW-02	Bloom progression within concept GRAPH_BASED_AGENTIC_WORKFLOW	L3-LLM
ULO-GRAPH_BASED_AGENTIC_WORKFLOW-04	ULO-GRAPH_BASED_AGENTIC_WORKFLOW-03	Bloom progression within concept GRAPH_BASED_AGENTIC_WORKFLOW	L3-LLM
ULO-GRAPH_MODELS-02	ULO-GRAPH_MODELS-01	Bloom progression within concept GRAPH_MODELS	L3-LLM
ULO-GRAPH_MODELS-03	ULO-GRAPH_MODELS-02	Bloom progression within concept GRAPH_MODELS	L3-LLM
ULO-GRAPH_MODELS-04	ULO-GRAPH_MODELS-03	Bloom progression within concept GRAPH_MODELS	L3-LLM
ULO-GREEDY_ALGORITHMS-02	ULO-GREEDY_ALGORITHMS-01	Bloom progression within concept GREEDY_ALGORITHMS	L3-LLM
ULO-GREEDY_ALGORITHMS-03	ULO-GREEDY_ALGORITHMS-02	Bloom progression within concept GREEDY_ALGORITHMS	L3-LLM
ULO-GREEDY_ALGORITHMS-04	ULO-GREEDY_ALGORITHMS-03	Bloom progression within concept GREEDY_ALGORITHMS	L3-LLM
ULO-HDD_VS_SSD-02	ULO-HDD_VS_SSD-01	Bloom progression within concept HDD_VS_SSD	L3-LLM
ULO-HDD_VS_SSD-03	ULO-HDD_VS_SSD-02	Bloom progression within concept HDD_VS_SSD	L3-LLM
ULO-HDD_VS_SSD-04	ULO-HDD_VS_SSD-03	Bloom progression within concept HDD_VS_SSD	L3-LLM
ULO-HTML_STRUCTURE-02	ULO-HTML_STRUCTURE-01	Bloom progression within concept HTML_STRUCTURE	L3-LLM
ULO-HTML_STRUCTURE-03	ULO-HTML_STRUCTURE-02	Bloom progression within concept HTML_STRUCTURE	L3-LLM
ULO-HTML_STRUCTURE-04	ULO-HTML_STRUCTURE-03	Bloom progression within concept HTML_STRUCTURE	L3-LLM
ULO-HTTP_METHODS-02	ULO-HTTP_METHODS-01	Bloom progression within concept HTTP_METHODS	L3-LLM
ULO-HTTP_METHODS-03	ULO-HTTP_METHODS-02	Bloom progression within concept HTTP_METHODS	L3-LLM
ULO-HTTP_METHODS-04	ULO-HTTP_METHODS-03	Bloom progression within concept HTTP_METHODS	L3-LLM
ULO-HYBRID_VECTOR_SPARSE_SEARCH-02	ULO-HYBRID_VECTOR_SPARSE_SEARCH-01	Bloom progression within concept HYBRID_VECTOR_SPARSE_SEARCH	L3-LLM
ULO-HYBRID_VECTOR_SPARSE_SEARCH-03	ULO-HYBRID_VECTOR_SPARSE_SEARCH-02	Bloom progression within concept HYBRID_VECTOR_SPARSE_SEARCH	L3-LLM
ULO-HYBRID_VECTOR_SPARSE_SEARCH-04	ULO-HYBRID_VECTOR_SPARSE_SEARCH-03	Bloom progression within concept HYBRID_VECTOR_SPARSE_SEARCH	L3-LLM
ULO-IDENTITY_AND_ACCESS_MANAGEMENT-02	ULO-IDENTITY_AND_ACCESS_MANAGEMENT-01	Bloom progression within concept IDENTITY_AND_ACCESS_MANAGEMENT	L3-LLM
ULO-IDENTITY_AND_ACCESS_MANAGEMENT-03	ULO-IDENTITY_AND_ACCESS_MANAGEMENT-02	Bloom progression within concept IDENTITY_AND_ACCESS_MANAGEMENT	L3-LLM
ULO-IDENTITY_AND_ACCESS_MANAGEMENT-04	ULO-IDENTITY_AND_ACCESS_MANAGEMENT-03	Bloom progression within concept IDENTITY_AND_ACCESS_MANAGEMENT	L3-LLM
ULO-IF_ELSE_STATEMENT-02	ULO-IF_ELSE_STATEMENT-01	Bloom progression within concept IF_ELSE_STATEMENT	L3-LLM
ULO-IF_ELSE_STATEMENT-03	ULO-IF_ELSE_STATEMENT-02	Bloom progression within concept IF_ELSE_STATEMENT	L3-LLM
ULO-IF_ELSE_STATEMENT-04	ULO-IF_ELSE_STATEMENT-03	Bloom progression within concept IF_ELSE_STATEMENT	L3-LLM
ULO-IMAGE_COMPOSITING-02	ULO-IMAGE_COMPOSITING-01	Bloom progression within concept IMAGE_COMPOSITING	L3-LLM
ULO-IMAGE_COMPOSITING-03	ULO-IMAGE_COMPOSITING-02	Bloom progression within concept IMAGE_COMPOSITING	L3-LLM
ULO-IMAGE_COMPOSITING-04	ULO-IMAGE_COMPOSITING-03	Bloom progression within concept IMAGE_COMPOSITING	L3-LLM
ULO-IMAGE_RETOUCHING-02	ULO-IMAGE_RETOUCHING-01	Bloom progression within concept IMAGE_RETOUCHING	L3-LLM
ULO-IMAGE_RETOUCHING-03	ULO-IMAGE_RETOUCHING-02	Bloom progression within concept IMAGE_RETOUCHING	L3-LLM
ULO-IMAGE_RETOUCHING-04	ULO-IMAGE_RETOUCHING-03	Bloom progression within concept IMAGE_RETOUCHING	L3-LLM
ULO-IMAGE_WARPING-02	ULO-IMAGE_WARPING-01	Bloom progression within concept IMAGE_WARPING	L3-LLM
ULO-IMAGE_WARPING-03	ULO-IMAGE_WARPING-02	Bloom progression within concept IMAGE_WARPING	L3-LLM
ULO-IMAGE_WARPING-04	ULO-IMAGE_WARPING-03	Bloom progression within concept IMAGE_WARPING	L3-LLM
ULO-IMMUTABILITY_CONCEPT-02	ULO-IMMUTABILITY_CONCEPT-01	Bloom progression within concept IMMUTABILITY_CONCEPT	L3-LLM
ULO-IMMUTABILITY_CONCEPT-03	ULO-IMMUTABILITY_CONCEPT-02	Bloom progression within concept IMMUTABILITY_CONCEPT	L3-LLM
ULO-IMMUTABILITY_CONCEPT-04	ULO-IMMUTABILITY_CONCEPT-03	Bloom progression within concept IMMUTABILITY_CONCEPT	L3-LLM
ULO-IMPLICIT_EXPLICIT_ANIMATION-02	ULO-IMPLICIT_EXPLICIT_ANIMATION-01	Bloom progression within concept IMPLICIT_EXPLICIT_ANIMATION	L3-LLM
ULO-IMPLICIT_EXPLICIT_ANIMATION-03	ULO-IMPLICIT_EXPLICIT_ANIMATION-02	Bloom progression within concept IMPLICIT_EXPLICIT_ANIMATION	L3-LLM
ULO-IMPLICIT_EXPLICIT_ANIMATION-04	ULO-IMPLICIT_EXPLICIT_ANIMATION-03	Bloom progression within concept IMPLICIT_EXPLICIT_ANIMATION	L3-LLM
ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-02	ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-01	Bloom progression within concept INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG	L3-LLM
ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-03	ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-02	Bloom progression within concept INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG	L3-LLM
ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-04	ULO-INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG-03	Bloom progression within concept INCLUSIVE_DESIGN_ACCESSIBILITY_WCAG	L3-LLM
ULO-INFORMATION_CREDIBILITY-02	ULO-INFORMATION_CREDIBILITY-01	Bloom progression within concept INFORMATION_CREDIBILITY	L3-LLM
ULO-INFORMATION_CREDIBILITY-03	ULO-INFORMATION_CREDIBILITY-02	Bloom progression within concept INFORMATION_CREDIBILITY	L3-LLM
ULO-INFORMATION_CREDIBILITY-04	ULO-INFORMATION_CREDIBILITY-03	Bloom progression within concept INFORMATION_CREDIBILITY	L3-LLM
ULO-INFORMATION_ENTROPY_METRICS-02	ULO-INFORMATION_ENTROPY_METRICS-01	Bloom progression within concept INFORMATION_ENTROPY_METRICS	L3-LLM
ULO-INFORMATION_ENTROPY_METRICS-03	ULO-INFORMATION_ENTROPY_METRICS-02	Bloom progression within concept INFORMATION_ENTROPY_METRICS	L3-LLM
ULO-INFORMATION_ENTROPY_METRICS-04	ULO-INFORMATION_ENTROPY_METRICS-03	Bloom progression within concept INFORMATION_ENTROPY_METRICS	L3-LLM
ULO-INHERITANCE_SYNTAX-02	ULO-INHERITANCE_SYNTAX-01	Bloom progression within concept INHERITANCE_SYNTAX	L3-LLM
ULO-INHERITANCE_SYNTAX-03	ULO-INHERITANCE_SYNTAX-02	Bloom progression within concept INHERITANCE_SYNTAX	L3-LLM
ULO-INHERITANCE_SYNTAX-04	ULO-INHERITANCE_SYNTAX-03	Bloom progression within concept INHERITANCE_SYNTAX	L3-LLM
ULO-IOT_PROTOCOLS_MQTT_CONCEPT-02	ULO-IOT_PROTOCOLS_MQTT_CONCEPT-01	Bloom progression within concept IOT_PROTOCOLS_MQTT_CONCEPT	L3-LLM
ULO-IOT_PROTOCOLS_MQTT_CONCEPT-03	ULO-IOT_PROTOCOLS_MQTT_CONCEPT-02	Bloom progression within concept IOT_PROTOCOLS_MQTT_CONCEPT	L3-LLM
ULO-IOT_PROTOCOLS_MQTT_CONCEPT-04	ULO-IOT_PROTOCOLS_MQTT_CONCEPT-03	Bloom progression within concept IOT_PROTOCOLS_MQTT_CONCEPT	L3-LLM
ULO-IOT_SAFETY_RISKS-02	ULO-IOT_SAFETY_RISKS-01	Bloom progression within concept IOT_SAFETY_RISKS	L3-LLM
ULO-IOT_SAFETY_RISKS-03	ULO-IOT_SAFETY_RISKS-02	Bloom progression within concept IOT_SAFETY_RISKS	L3-LLM
ULO-IOT_SAFETY_RISKS-04	ULO-IOT_SAFETY_RISKS-03	Bloom progression within concept IOT_SAFETY_RISKS	L3-LLM
ULO-IOT_SECURITY_THREATS-02	ULO-IOT_SECURITY_THREATS-01	Bloom progression within concept IOT_SECURITY_THREATS	L3-LLM
ULO-IOT_SECURITY_THREATS-03	ULO-IOT_SECURITY_THREATS-02	Bloom progression within concept IOT_SECURITY_THREATS	L3-LLM
ULO-IOT_SECURITY_THREATS-04	ULO-IOT_SECURITY_THREATS-03	Bloom progression within concept IOT_SECURITY_THREATS	L3-LLM
