code	name	description	category_codes	keywords	cs2023_ka_mapping	metadata
RENDERING_CONCEPTS	3D Rendering Concepts	Tìm hiểu các yếu tố cơ bản trong quá trình kết xuất 3D, như vật liệu (materials), kết cấu (textures), và ánh sáng (lighting).	GRAPHICS_FUNDAMENTALS, 3D_MODELING_ANIMATION	3D rendering, materials, textures, lighting, shadows	GIT	{"icon": "lightbulb-on"}
UI_CONTROLS	Basic UI Controls	Sử dụng các control cơ bản để hiển thị thông tin (Text, Image) và nhận tương tác từ người dùng (Button, TextField, Picker).	UI_BUILDING_BLOCKS	Text, Image, Button, TextField, Picker, Toggle	HCI	{"icon": "keyboard"}
UI_MODIFIERS	UI Modifiers	Áp dụng các bộ điều chỉnh (modifiers) để tùy biến giao diện của các View, như thay đổi font, màu sắc, padding và background.	UI_BUILDING_BLOCKS	modifiers, styling, font, color, padding	HCI	{"icon": "paint-brush"}
STACK_LAYOUT	Stack-Based Layout	Sắp xếp các View theo chiều dọc (VStack), chiều ngang (HStack) hoặc xếp chồng lên nhau (ZStack) để tạo các bố cục cơ bản.	LAYOUT_COMPOSITION	stacks, VStack, HStack, ZStack, layout	HCI	{"icon": "layer-group"}
GRID_LAYOUT	Grid-Based Layout	Sắp xếp các View thành một lưới hai chiều, thường được sử dụng để hiển thị các bộ sưu tập.	LAYOUT_COMPOSITION	grid, LazyVGrid, LazyHGrid, collection	HCI	{"icon": "th"}
ADAPTIVE_LAYOUT	Adaptive Layout	Các kỹ thuật để giao diện có thể tự động thích ứng với các kích thước màn hình, hướng và nền tảng khác nhau.	LAYOUT_COMPOSITION	adaptive, responsive, size classes, GeometryReader	HCI	{"icon": "expand-arrows-alt"}
DECLARATIVE_UI_MODEL	Declarative UI Model	Hiểu mô hình lập trình giao diện khai báo, trong đó UI là một hàm của trạng thái (UI = f(state)).	STATE_DATA_FLOW	declarative UI, state-driven, UI as function	HCI, FPL	{"icon": "wand-magic-sparkles"}
STATE_MANAGEMENT	State Management	Quản lý trạng thái giao diện, từ trạng thái cục bộ của một View đến các trạng thái phức tạp và được chia sẻ giữa nhiều View.	STATE_DATA_FLOW	state, @State, @StateObject, ViewModel, Source of Truth	HCI, SDF	{"icon": "brain-circuit"}
DATA_BINDING	Data Binding	Kỹ thuật tạo liên kết hai chiều giữa dữ liệu trong code và các control trên giao diện, cho phép UI tự động cập nhật và ngược lại.	STATE_DATA_FLOW	binding, two-way binding, @Binding	HCI, SDF	{"icon": "link"}
OBSERVABLE_MODEL	Observable Model Pattern	Áp dụng mẫu thiết kế "đối tượng có thể quan sát" để tự động thông báo cho giao diện khi dữ liệu hoặc trạng thái trong một đối tượng phức tạp (ViewModel) thay đổi.	STATE_DATA_FLOW, DESIGN_PATTERNS	observable, publisher, subscriber, @Published	SE, FPL	{"icon": "broadcast-tower"}
HIERARCHICAL_NAVIGATION	Hierarchical Navigation	Xây dựng luồng điều hướng phân cấp (stack-based), cho phép người dùng "đi sâu" vào các màn hình chi tiết và quay trở lại.	NAVIGATION_PRESENTATION	navigation, stack navigation, NavigationStack, push, pop	HCI	{"icon": "sitemap"}
MODAL_PRESENTATION	Modal Presentation	Trình bày các View một cách tạm thời lên trên màn hình hiện tại để thực hiện một tác vụ cụ thể, như điền form hoặc hiển thị cảnh báo.	NAVIGATION_PRESENTATION	modal, sheet, alert, popover, presentation	HCI	{"icon": "window-maximize"}
GESTURE_HANDLING	Gesture Handling	Lập trình để nhận biết và phản hồi lại các cử chỉ tương tác của người dùng như chạm, nhấn giữ và kéo.	INTERACTION_EFFECTS	gestures, tap, drag, long press, interaction	HCI	{"icon": "hand-pointer"}
UI_ANIMATION	UI Animation & Transitions	Áp dụng các hiệu ứng chuyển động và chuyển tiếp để làm cho các thay đổi giao diện trở nên mượt mà và trực quan hơn.	INTERACTION_EFFECTS	animation, transition, motion, effects	GIT, HCI	{"icon": "film"}
GEOSPATIAL_SERVICES	Geospatial Services	Tích hợp và sử dụng các dịch vụ bản đồ và vị trí của nền tảng để hiển thị bản đồ và lấy vị trí người dùng.	PLATFORM_INTEGRATION	MapKit, Core Location, maps, GPS	SPD	{"icon": "map-marked-alt"}
MEDIA_SERVICES	Media & System Services	Tương tác với các dịch vụ hệ thống như thư viện ảnh/video, camera, âm thanh và thông báo.	PLATFORM_INTEGRATION	PhotosPicker, Camera, AVFoundation, UserNotifications	SPD	{"icon": "photo-video"}
USER_PREFERENCES_STORAGE	User Preferences Storage	Sử dụng các cơ chế lưu trữ key-value của hệ điều hành để lưu các cài đặt và tùy chọn nhỏ của người dùng.	APP_PERSISTENCE	UserDefaults, AppStorage, preferences	SDF	{"icon": "sliders-h"}
STRUCTURED_DATA_STORAGE	Structured On-Device Storage	Sử dụng các framework cơ sở dữ liệu như Core Data hoặc ghi/đọc file để quản lý các tập dữ liệu có cấu trúc trên thiết bị.	APP_PERSISTENCE	Core Data, FileManager, Codable, on-device database	DM	{"icon": "database"}
ABSTRACTION_LAYERS	Layers of Abstraction	Hiểu cách các hệ thống phức tạp được xây dựng dựa trên nhiều lớp trừu tượng, mỗi lớp che giấu chi tiết của lớp dưới.	ABSTRACTION_DECOMP	abstraction, layers, information hiding	SDF, SE	{"icon": "layer-group"}
PROBLEM_DECOMPOSITION	Problem Decomposition	Kỹ thuật chia một vấn đề lớn và phức tạp thành các vấn đề con nhỏ hơn, dễ quản lý hơn, là một phần cốt lõi của tư duy tính toán.	ABSTRACTION_DECOMP	decomposition, divide and conquer, problem solving	SDF, AL	{"icon": "puzzle-piece"}
CREATIONAL_PATTERNS	Creational Design Patterns	Các mẫu thiết kế khởi tạo như Singleton và Factory để tạo đối tượng một cách linh hoạt và kiểm soát vòng đời.	DESIGN_PATTERNS	creational patterns, singleton, factory	SE	{"icon": "plus-square"}
STRUCTURAL_PATTERNS	Structural Design Patterns	Các mẫu thiết kế cấu trúc như Adapter và Decorator để tổ chức và mở rộng cấu trúc phần mềm.	DESIGN_PATTERNS	structural patterns, adapter, decorator	SE	{"icon": "sitemap"}
BEHAVIORAL_PATTERNS	Behavioral Design Patterns	Các mẫu thiết kế hành vi như Observer và Strategy để quản lý tương tác và lựa chọn thuật toán lúc chạy.	DESIGN_PATTERNS	behavioral patterns, observer, strategy	SE	{"icon": "directions"}
VERSION_CONTROL_WORKFLOW	Version Control Workflow	Quy trình làm việc với Git (Git Flow) để quản lý nhánh và phối hợp nhóm hiệu quả.	VERSION_CONTROL	Git workflow, Git Flow, branching strategy	SE	{"icon": "code-branch"}
AI_HISTORY_MILESTONES	History and Milestones of AI	Các cột mốc quan trọng trong lịch sử AI từ Turing Test đến thời kỳ Deep Learning.	AI_CONCEPTS	AI history, Turing test, deep learning	AI, SEP	{"icon": "monument"}
TYPES_OF_AI	Types of AI: Narrow vs. General	Phân biệt AI hẹp và AI tổng quát, mối quan hệ với AGI và trí tuệ nhân tạo mạnh.	AI_CONCEPTS	narrow AI, general AI, AGI, strong AI	AI	{"icon": "brain"}
IOT_SECURITY_THREATS	Common IoT Security Threats	Các mối đe dọa bảo mật phổ biến với thiết bị IoT, như firmware yếu và botnet.	IOT_SECURITY_SAFETY	IoT security, firmware, botnet	SEC	{"icon": "shield-virus"}
IOT_SAFETY_RISKS	IoT Safety Risks	Rủi ro an toàn vật lý ở các hệ thống IoT (xe tự lái, thiết bị y tế, nhà thông minh).	IOT_SECURITY_SAFETY	IoT safety, physical risk, critical systems	SEP, SEC	{"icon": "car-crash"}
AGILE_PRINCIPLES	Agile Principles	Nắm vững các nguyên tắc cốt lõi của phát triển phần mềm linh hoạt, như ưu tiên sự hài lòng của khách hàng và thích ứng với thay đổi.	DEVELOPMENT_PROCESS	Agile, manifesto, iterative development	SE	{"icon": "users-class"}
SCRUM_ROLES_EVENTS	Scrum Roles and Events	Nhận biết các vai trò (Product Owner, Scrum Master) và các sự kiện (Sprint, Daily Standup, Retrospective) trong khuôn khổ Scrum.	DEVELOPMENT_PROCESS	Scrum, sprint, standup, backlog	SE	{"icon": "users-cog"}
RELATIONAL_VS_NONRELATIONAL	Relational vs. NoSQL Databases	So sánh cơ sở dữ liệu quan hệ (SQL) và không quan hệ (NoSQL) về mô hình dữ liệu, tính nhất quán và khả năng mở rộng.	DATABASE_FUNDAMENTALS	SQL vs NoSQL, relational, non-relational	DM	{"icon": "database"}
FRONTEND_FRAMEWORKS	Frontend Frameworks/Libraries	Hiểu vai trò của các thư viện/framework như React, Vue, Angular trong việc xây dựng các giao diện người dùng tương tác và có cấu trúc.	WEB_FRAMEWORKS	frameworks, React, Angular, Vue, SPA	SPD	{"icon": "react"}
BACKEND_FRAMEWORKS	Backend Frameworks	Hiểu vai trò của các framework như Django (Python), Express (Node.js) trong việc tăng tốc xây dựng logic và API phía máy chủ.	WEB_FRAMEWORKS	frameworks, Django, Express, Spring, backend	SPD	{"icon": "server"}
AI_BIAS	Bias in AI	Hiểu cách thiên vị trong dữ liệu huấn luyện hoặc trong thiết kế thuật toán có thể dẫn đến các quyết định không công bằng từ hệ thống AI.	AI_ETHICS_BIAS	AI bias, fairness, ethics, training data	AI, SEP	{"icon": "balance-scale"}
ALGORITHMIC_BIAS_SOCIETY	Algorithmic Bias in Society	Phân tích cách các thuật toán có thể tạo ra hoặc khuếch đại các thành kiến xã hội.	SOCIETAL_IMPACT	algorithmic bias, fairness, ethics, societal impact	SEP, AI	{"icon": "balance-scale"}
USER_CENTERED_DESIGN	User-Centered Design Process	Hiểu quy trình thiết kế lấy người dùng làm trung tâm.	UI_UX_PROCESS	UCD, user-centered, design thinking	HCI	{"icon": "user-check"}
AFFORDANCES_SIGNIFIERS	Affordances and Signifiers	Phân biệt khái niệm affordances và signifiers trong thiết kế tương tác.	HCI_PRINCIPLES	affordance, signifier, discoverability	HCI	{"icon": "lightbulb-on"}
FEEDBACK_AND_RESPONSE	Feedback and System Response	Tầm quan trọng của phản hồi và thời gian phản hồi trong UX.	HCI_PRINCIPLES	feedback, response time, user interface	HCI	{"icon": "comment-alt-dots"}
INFORMATION_CREDIBILITY	Assessing Information Credibility	Đánh giá độ tin cậy của thông tin trực tuyến.	DIGITAL_INTERACTION	credibility, fact-checking, misinformation	SEP	{"icon": "check-double"}
DIGITAL_FOOTPRINT	Digital Footprint	Khái niệm về dấu chân số và tác động đến quyền riêng tư/danh tiếng.	DATA_PRIVACY_USER	digital footprint, privacy, online presence	SEP	{"icon": "shoe-prints"}
CYBERBULLYING	Cyberbullying and Response	Nhận biết và ứng phó với bắt nạt trực tuyến.	DIGITAL_WELLBEING	cyberbullying, online safety, harassment	SEP	{"icon": "user-ninja"}
COPYRIGHT_CREATIVE_COMMONS	Copyright & Creative Commons	Phân biệt bản quyền tiêu chuẩn và giấy phép mở Creative Commons.	IP_COPYRIGHT	copyright, Creative Commons, licenses, intellectual property	SEP	{"icon": "copyright"}
DIGITAL_DIVIDE	The Digital Divide	Khoảng cách số về tiếp cận và hưởng lợi từ công nghệ.	SOCIETAL_IMPACT	digital divide, equity, access, inclusion	SEP	{"icon": "users-slash"}
IMAGE_WARPING	Mesh and Liquify Warping	Kỹ thuật biến dạng hình ảnh bằng mesh warp hoặc liquify.	DIGITAL_IMAGE_MANIPULATION	warping, liquify, mesh warp, image manipulation	GIT	{"icon": "border-style-alt"}
IMAGE_RETOUCHING	Image Retouching Techniques	Kỹ thuật làm sạch/phục chế ảnh.	DIGITAL_IMAGE_MANIPULATION	retouching, healing brush, clone stamp	GIT	{"icon": "magic"}
IMAGE_COMPOSITING	Image Compositing	Kỹ thuật ghép ảnh, dùng layer mask và blending modes.	DIGITAL_IMAGE_MANIPULATION	compositing, photomontage, image combination	GIT	{"icon": "images"}
TWO_FACTOR_AUTH	Two-Factor Authentication (2FA)	Khái niệm và vai trò của 2FA/MFA trong bảo mật.	DEVICE_PROTECTION	2FA, MFA, authentication, security	SEC	{"icon": "key"}
APP_EXTENSION_MODEL	App Extension Model	Kiến trúc thành phần mở rộng như Widgets.	PLATFORM_INTEGRATION	app extensions, WidgetKit, widgets	SPD	{"icon": "puzzle-piece"}
DATA_ENCODING	Data Encoding and Compression	Các lược đồ mã hóa và thuật toán nén dữ liệu.	DATA_ENCODING	encoding, compression, ASCII, Unicode, JPEG, MP3	AL	{"icon": "file-archive"}
CHART_TYPES	Choosing Appropriate Chart Types	Lựa chọn biểu đồ phù hợp (cột, đường, tròn, phân tán) theo dữ liệu và thông điệp.	DATA_VISUALIZATION	charts, graphs, visualization, chart selection	GIT	{"icon": "chart-pie-alt"}
CLOUD_MODELS_IAAS_PAAS_SAAS	Cloud Service Models	Ba mô hình dịch vụ đám mây chính: IaaS, PaaS, SaaS.	CLOUD_COMPUTING	IaaS, PaaS, SaaS, cloud services	PDC	{"icon": "cloud"}
CLOUD_DEPLOYMENT_MODELS	Cloud Deployment Models	Các mô hình triển khai: Public, Private, Hybrid Cloud.	CLOUD_COMPUTING	public cloud, private cloud, hybrid cloud	PDC	{"icon": "cloud-upload-alt"}
VIRTUALIZATION	Virtualization Concept	Công nghệ ảo hóa: VM, hypervisor; lớp trừu tượng tài nguyên.	OS_CONCEPTS, CLOUD_COMPUTING	virtualization, VM, hypervisor	OS, PDC	{"icon": "desktop"}
MAPREDUCE_CONCEPT	MapReduce Concept	Mô hình MapReduce xử lý song song dữ liệu lớn (map, reduce).	BIG_DATA_TECH	MapReduce, big data, distributed processing	PDC	{"icon": "stream"}
CAP_THEOREM	CAP Theorem	Định lý CAP và các đánh đổi trong hệ phân tán.	PARALLEL_DIST_ALGO	CAP theorem, distributed systems, consistency	PDC	{"icon": "balance-scale-right"}
NEURAL_NETWORKS_BASICS	Neural Networks Basics	Thành phần cơ bản của ANN: neuron, layer, trọng số, kích hoạt.	ML_MODELS	neural network, neuron, layer, activation function	AI	{"icon": "brain-circuit"}
AI_VS_ML	AI vs. ML vs. Deep Learning	Phân biệt AI, ML và DL; mối quan hệ và khác biệt.	AI_CONCEPTS	AI, ML, Deep Learning, definitions	AI	{"icon": "project-diagram"}
USABILITY_TESTING	Usability Testing	Quy trình kiểm thử tính khả dụng với người dùng thực.	UI_UX_PROCESS	usability testing, user testing, feedback	HCI, SE	{"icon": "clipboard-check"}
STATISTICAL_MEASURES	Basic Statistical Measures	Các thước đo thống kê cơ bản: mean, median, std.	STATISTICS_PROBABILITY	mean, median, standard deviation, statistics	MSF	{"icon": "chart-bar"}
PROBABILITY_BASICS	Basic Probability	Khái niệm xác suất cơ bản, không gian mẫu, biến cố.	STATISTICS_PROBABILITY	probability, sample space, event	MSF	{"icon": "dice-d6"}
DATA_DISTRIBUTIONS	Basic Data Distributions	Phân phối phổ biến: Normal (Gaussian), Uniform.	STATISTICS_PROBABILITY	distribution, normal distribution, uniform distribution	MSF	{"icon": "bell"}
DATA_COLLECTION	Data Collection and Cleaning	Bao gồm các phương pháp và công cụ để thu thập dữ liệu từ nhiều nguồn khác nhau và các kỹ thuật tiền xử lý để đảm bảo chất lượng và tính nhất quán của dữ liệu.	DATA_COLLECTION	data collection, data cleaning, ETL, web scraping, API	DM, AI	{"icon": "filter"}
MAP_ANNOTATIONS	Map Annotations	Sử dụng annotation tuỳ chỉnh để hiển thị các điểm đánh dấu trên bản đồ.	PLATFORM_INTEGRATION	MapAnnotation, custom pin, annotation	SPD	{"icon": "map-pin"}
VIEW_LIFECYCLE	View Lifecycle Events	Xử lý các sự kiện vòng đời của View như onAppear và onDisappear để khởi tạo hoặc dọn dẹp tác vụ.	INTERACTION_EFFECTS	onAppear, onDisappear, lifecycle	HCI	{"icon": "clock"}
WIDGETKIT_INTEGRATION	WidgetKit Integration	Tích hợp WidgetKit để tạo widget, cấu hình provider và quản lý timeline hiển thị dữ liệu.	PLATFORM_INTEGRATION	WidgetKit, timeline, provider, widget	SPD	{"icon": "puzzle-piece"}
UI_ARCH_PATTERNS	UI Architecture Patterns	Các mẫu kiến trúc UI như MVC, MVVM để tổ chức trạng thái và logic giao diện.	STATE_DATA_FLOW	MVC, MVVM, architecture, ViewModel	SE, HCI	{"icon": "sitemap"}
DEVELOPMENT_PROCESS	Software Development Process	Các mô hình quy trình phát triển phần mềm từ Waterfall đến Agile/Scrum.	DEVELOPMENT_PROCESS	process, Agile, Scrum, Waterfall	SE	{"icon": "timeline"}
DIGITAL_CITIZENSHIP	Digital Citizenship	Các nguyên tắc ứng xử, đạo đức và trách nhiệm trong môi trường số.	SOCIETAL_IMPACT	ethics, privacy, safety, responsibility	SEP	{"icon": "user-shield"}
